startphrase,ending1,ending2,labels,valid
A dog as large as an elephant,The dog is large,The dog is small,0,1
A dog as large as a mouse,The dog is large,The dog is small,1,1
A boy as smart as an elephant,The boy is smart,The boy is dumb,0,1
A boy as smart as a goldfish,The boy is smart,The boy is dumb,1,1
A movie as expensive as a car,the movie is expensive,the movie is cheap,0,1
A movie as expensive as a piece of candy,the movie is expensive,the movie is cheap,1,1
He was as down-to-earth as the village idiot,He was not down-to-earth,He was down-to-earth,0,1
He was as down-to-earth as the Marlboro Man,He was not down-to-earth,He was down-to-earth,1,1
The  detective was as good as Inspector Closseau,The  detective was not good,The  detective was good,0,1
The  detective was as good as Sherlock Holmes,The  detective was not good,The  detective was good,1,1
The seat was as wide as a peephole,The seat was not wide,The seat was wide,0,1
The seat was as wide as a football field,The seat was not wide,The seat was wide,1,1
I've got a resume the size of the earth,My resume is big,My resume is small,0,1
I've got a resume the size of a pebble,My resume is big,My resume is small,1,1
You're as suspicious as a spy,You're suspicious,You're not suspicious,0,1
You're as suspicious as a saint,You're suspicious,You're not suspicious,1,1
This seat is like sitting on air,This seat is comfortable,This seat is uncomfortable,0,1
This seat is like sitting on rocks,This seat is comfortable,This seat is uncomfortable,1,1
The seat is empty like Jimmy Hoffa's grave,"The seat is free, there's nothing in it",The seat is full,0,1
The seat is empty like a rush hour bus downtown,"The seat is free, there's nothing in it",The seat is full,1,1
Your dress is shiny as a quarter that just went through the washing machine,Your dress is totally dull,Your dress is brilliantly shiny,0,1
Your dress is shiny as a new car in the early afternoon sun,Your dress is totally dull,Your dress is brilliantly shiny,1,1
He's as lonely as a scientist at an Antarctic research post,He's very lonely,He's not lonely at all and surrounded by friends,0,1
He's as lonely as a high school cheerleader at homecoming,He's very lonely,He's not lonely at all and surrounded by friends,1,1
The bird on the window sill gave the man a feeling which reminded him of Coming back home after a long trip,The man felt comforted and relieved.,The man was excited and looking forward.to it.,0,1
The bird on the window sill gave the man a feeling which reminded him of About to head off on a vacation,The man felt comforted and relieved.,The man was excited and looking forward.to it.,1,1
The suspicion he felt as she gave her excuse reminded him of Watching The mysterious movie Diobolique,Her behavior was highly questionable,Her behavior was highly comical,0,1
The suspicion he felt as she gave her excuse reminded him of Watching Inspector Gadget.,Her behavior was highly questionable,Her behavior was highly comical,1,1
The view from his seat in the theater reminded him of An expensive Opera box,The seats gave him a great view.,The seats view was limited.,0,1
The view from his seat in the theater reminded him of Watching it on a television screen instead,The seats gave him a great view.,The seats view was limited.,1,1
The earth was a home,Someone found the earth a pleasant place to live,Someone found the earth an unpleasant or stagnant place to live,0,1
The earth was a prison,Someone found the earth a pleasant place to live,Someone found the earth an unpleasant or stagnant place to live,1,1
Suspicion is a tool,Suspicion helps its users,Suspicion holds its users back,0,1
Suspicion is a hindrance,Suspicion helps its users,Suspicion holds its users back,1,1
The seat was a throne,The seat was prestigious,The seat was insulting or degrading,0,1
The seat was a stocks,The seat was prestigious,The seat was insulting or degrading,1,1
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,0,0
The movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,1,0
The movie is heart touchThe movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,0,0
The movie is heart touchThe movie is heart touch The movie is heart touch,The movie is heart touch,The movie is heart touch,1,0
This seat is a baby's chair.,Seat is very uncomfortable.,Seat is very comfortable.,0,1
This seat is a throne.,Seat is very uncomfortable.,Seat is very comfortable.,1,1
Earth is a god's heaven.,Earth is very beautiful and peaceful place.,Earth is ugly and full of sufferings.,0,1
Earth is is a hellfire.,Earth is very beautiful and peaceful place.,Earth is ugly and full of sufferings.,1,1
Suspicion murders the faith,suspicion could kill faith in some one.,suspicion could bring out the truth.,0,1
Suspicion lights up the fact.,suspicion could kill faith in some one.,suspicion could bring out the truth.,1,1
The car's engine sounds like a cat purring,The engine runs smoothly,The engine is loud,0,1
The car's engine sounds like a dragon snoring,The engine runs smoothly,The engine is loud,1,1
My mom's cooking is as tasty as a bowl of vomit,My mom's cooking is disgusting,My mom's cooking is delicious,0,1
My mom's cooking is as tasty as manna from Heaven,My mom's cooking is disgusting,My mom's cooking is delicious,1,1
The professor's voice is like a velvet cloak,The professor's voice is smooth,The professor's voice is irritating,0,1
The professor's voice is like a cat in heat,The professor's voice is smooth,The professor's voice is irritating,1,1
The pollution produced by the new industry is like A landfill dumped on a public park,The pollution from the new industry is horrible,The pollution from the new industry has almost zero impact,0,1
The pollution produced by the new industry is like A drop in the Pacific Ocean.,The pollution from the new industry is horrible,The pollution from the new industry has almost zero impact,1,1
The child's ability to understand is like that of An uncomprehending door knob,The child has difficulty understanding things,The child is a quick study and understands things easily,0,1
The child's ability to understand is like that of A child genius like Mozart,The child has difficulty understanding things,The child is a quick study and understands things easily,1,1
The blood in the repository had the efficacy of Venom from a poisonous snake,The blood is bad and will cause harm,The blood is good and can be used to save lives,0,1
The blood in the repository had the efficacy of A Life-giving serum,The blood is bad and will cause harm,The blood is good and can be used to save lives,1,1
This industry will be as protifable as Fort Knox,The industry will make a lot of money,The industry will not make very much money,0,1
This industry will be as protifable as a lemonade stand,The industry will make a lot of money,The industry will not make very much money,1,1
I understand you as well as myself,I understand you well,I don't understand you at all,0,1
I understand you as well as hieroglyphics,I understand you well,I don't understand you at all,1,1
You have the strength of a bodybuilder,You're strong,You're weak,0,1
You have the strength of a baby,You're strong,You're weak,1,1
That's as consistent as California weather,It's very consistent,It's not consistent at all,0,1
